taxonomy_id	name	rank	lineage	InfA-30_diamond.diamond	PI2-20_diamond.diamond	InfA-33_diamond.diamond	InfB-22_diamond.diamond	RSA-24_diamond.diamond	RSV-25_diamond.diamond
796027	Sugiyamaella lignohabitans	species	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Saccharomycotina;Dipodascomycetes;Dipodascales;Trichomonascaceae;Sugiyamaella;Sugiyamaella lignohabitans	1	0	1	3	0	0
3080013	Bradyrhizobium sp. BWA-3-5	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;unclassified Bradyrhizobium;Bradyrhizobium sp. BWA-3-5	1	1	1	2	0	0
85	Hyphomonas	genus	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomonadales;Hyphomonadaceae;Hyphomonas	1	1	0	1	0	0
22	Shewanella	genus	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Shewanellaceae;Shewanella	1	0	0	0	0	0
2560525	Human orthorubulavirus 2	no rank	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Paramyxoviridae;Rubulavirinae;Orthorubulavirus;Orthorubulavirus laryngotracheitidis;Human orthorubulavirus 2	0	2250103	0	0	0	0
2560195	Orthorubulavirus	genus	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Paramyxoviridae;Rubulavirinae;Orthorubulavirus	0	908599	0	0	0	0
2560080	Rubulavirinae	subfamily	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Paramyxoviridae;Rubulavirinae	0	32408	0	0	0	0
3052561	Orthorubulavirus simiae	species	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Paramyxoviridae;Rubulavirinae;Orthorubulavirus;Orthorubulavirus simiae	0	10048	0	0	0	0
478	Moraxella nonliquefaciens	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Moraxella;Moraxella nonliquefaciens	0	16708	1	92	0	27085
672	Vibrio vulnificus	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio;Vibrio vulnificus	0	820	4142	14409	7	1230413
1239	Bacillota	phylum	cellular organisms;Bacteria;Bacillati;Bacillota	0	80	1	174	187095	1955
475	Moraxella	genus	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Moraxella	0	5247	2562	29815	0	208179
1301	Streptococcus	genus	cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	0	1198	0	3406	1	29063
468	Moraxellaceae	family	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae	0	846	980	5121	0	2002628
44933	Halomonas cupida	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;Halomonas;Halomonas cupida	0	81	0	0	0	0
204455	Rhodobacterales	order	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rhodobacterales	0	4	3	5	0	0
11158	Paramyxoviridae	family	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Paramyxoviridae	0	1052	0	0	0	0
470	Acinetobacter baumannii	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;Acinetobacter calcoaceticus/baumannii complex;Acinetobacter baumannii	0	39	73	3425	1	50453
235443	Cryptococcus neoformans H99	strain	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Tremellomycetes;Tremellales;Cryptococcaceae;Cryptococcus;Cryptococcus neoformans species complex;Cryptococcus neoformans;Cryptococcus neoformans H99	0	2	3	0	0	0
482	Neisseria	genus	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria	0	66	0	1	0	97
32207	Rothia	genus	cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Rothia	0	68	0	0	0	0
570	Klebsiella	genus	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella	0	1	1	29	4	0
2207	Methanosarcina	genus	cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanosarcina	0	1	0	0	0	0
87882	Burkholderia cepacia complex	species group	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;Burkholderia cepacia complex	0	10	0	10	0	0
670	Vibrio parahaemolyticus	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio;Vibrio harveyi group;Vibrio parahaemolyticus	0	62	108	2053	619	29880
1300	Streptococcaceae	family	cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae	0	11	0	370	0	1612
506	Alcaligenaceae	family	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae	0	106	10	0	22	617
2905673	parainfluenza virus 5	no rank	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Paramyxoviridae;Rubulavirinae;Orthorubulavirus;Orthorubulavirus mammalis;parainfluenza virus 5	0	28	0	0	0	0
798074	Tuhoko virus 3	no rank	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Paramyxoviridae;Rubulavirinae;Pararubulavirus;Pararubulavirus hongkongi;Tuhoko virus 3	0	5	0	0	0	0
476	Moraxella bovis	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Moraxella;Moraxella bovis	0	59	0	210	0	2756
754517	Mycoplasma phocoenae	species	cellular organisms;Bacteria;Bacillati;Mycoplasmatota;Mollicutes;Mycoplasmatales;Mycoplasmataceae;Mycoplasma;Mycoplasma phocoenae	0	6	0	28	5	2
1751071	Sediminibacterium longum	species	cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Sediminibacterium;Sediminibacterium longum	0	1	0	0	755	0
166486	Roseburia intestinalis	species	cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia;Roseburia intestinalis	0	20	5	163	7	2001
11657	Bovine immunodeficiency virus	no rank	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Lentivirus;Lentivirus bovimdef;Bovine immunodeficiency virus	0	28	11	41	539	12
3066369	Coralliovum pocilloporae	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Coralliovaceae;Coralliovum;Coralliovum pocilloporae	0	1	0	0	0	0
135577	Idiomarina loihiensis	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Idiomarinaceae;Idiomarina;Idiomarina loihiensis	0	1	0	1	0	0
152219	Menangle virus	no rank	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Paramyxoviridae;Rubulavirinae;Pararubulavirus;Pararubulavirus menangleense;Menangle virus	0	1	0	0	0	0
1822464	Paraburkholderia	genus	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Paraburkholderia	0	24	13	93	199	12
186826	Lactobacillales	order	cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales	0	85	3	1505	3	2783
3682651	Eikenella sp. KCOM 3110	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Eikenella;unclassified Eikenella;Eikenella sp. KCOM 3110	0	15	0	0	0	0
1133968	Babesia microti strain RI	strain	cellular organisms;Eukaryota;Sar;Alveolata;Apicomplexa;Aconoidasida;Piroplasmida;Babesiidae;Babesia;Babesia microti;Babesia microti strain RI	0	1	0	5	0	0
386585	Escherichia coli O157:H7 str. Sakai	strain	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli;Escherichia coli O157:H7;Escherichia coli O157:H7 str. Sakai	0	16	3	16	26	3
106589	Cupriavidus	genus	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Cupriavidus	0	16	0	0	0	1
80865	Delftia	genus	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Delftia	0	4	8	2	1	2
91061	Bacilli	class	cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli	0	58	7	927	218875	1341
622	Shigella dysenteriae	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella dysenteriae	0	18	28	48	14	4
76761	Pseudomonas veronii	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas fluorescens group;Pseudomonas veronii	0	4	0	0	0	254
28035	Staphylococcus lugdunensis	species	cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus lugdunensis	0	3	0	0	29	2
2020875	Methyloprofundus sp.	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Methylococcales;Methylococcaceae;Methyloprofundus;unclassified Methyloprofundus;Methyloprofundus sp.	0	1	3	2	0	0
80840	Burkholderiales	order	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales	0	52	31	138	5	293
481	Neisseriaceae	family	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae	0	31	0	0	0	232
279826	Mesobacillus foraminis	species	cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Bacillaceae;Mesobacillus;Mesobacillus foraminis	0	34	0	270	718	2120
136099	Knoellia	genus	cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Micrococcales;Intrasporangiaceae;Knoellia	0	2	0	2	0	0
1639133	Citrobacter portucalensis	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter;Citrobacter freundii complex;Citrobacter portucalensis	0	42	4	40	356	18
55080	Brevibacillus	genus	cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Paenibacillaceae;Brevibacillus	0	2	0	1	0	0
3349635	Oceanicaulis sp. LC35	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Maricaulales;Maricaulaceae;Oceanicaulis;unclassified Oceanicaulis;Oceanicaulis sp. LC35	0	1	0	0	0	0
140052	Betaretrovirus	genus	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Betaretrovirus	0	11	11	28	180	7
198214	Shigella flexneri 2a str. 301	strain	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella flexneri;Shigella flexneri 2a;Shigella flexneri 2a str. 301	0	10	36	126	50	2
92647	Paraburkholderia tropica	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Paraburkholderia;Paraburkholderia tropica	0	1	0	0	0	0
3243332	Zavarzinia sp. CC-PAN008	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Zavarziniaceae;Zavarzinia;unclassified Zavarzinia;Zavarzinia sp. CC-PAN008	0	2	0	0	0	0
34062	Faucicola osloensis	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Faucicola;Faucicola osloensis	0	1	0	0	18	376
2805427	Actinomadura luzonensis	species	cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Streptosporangiales;Thermomonosporaceae;Actinomadura;Actinomadura luzonensis	0	6	0	7	8	24
2714937	Propioniciclava coleopterorum	species	cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Propioniciclava;Propioniciclava coleopterorum	0	1	1	0	0	0
84163	Cryptobacterium curtum	species	cellular organisms;Bacteria;Bacillati;Actinomycetota;Coriobacteriia;Eggerthellales;Eggerthellaceae;Cryptobacterium;Cryptobacterium curtum	0	2	0	0	0	0
5007	Brettanomyces bruxellensis	species	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Saccharomycotina;Pichiomycetes;Pichiales;Pichiaceae;Brettanomyces;Brettanomyces bruxellensis	0	2	0	1	0	0
11224	Human parainfluenza virus 4a	no rank	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Paramyxoviridae;Rubulavirinae;Orthorubulavirus;Orthorubulavirus hominis;Human orthorubulavirus 4;Human parainfluenza virus 4a	0	4	0	0	0	0
83654	Leclercia	genus	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Leclercia	0	4	0	0	0	0
2872754	Endozoicomonas sp. 4G	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Oceanospirillales;Endozoicomonadaceae;Endozoicomonas;unclassified Endozoicomonas;Endozoicomonas sp. 4G	0	1	0	4	0	0
1620421	Hoeflea sp. IMCC20628	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Hoeflea;unclassified Hoeflea;Hoeflea sp. IMCC20628	0	1	0	2	0	1
52972	Polaromonas	genus	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Polaromonas	0	10	0	1	0	0
391905	Methylocystis heyeri	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylocystaceae;Methylocystis;Methylocystis heyeri	0	2	0	0	0	0
1050370	Thiomonas sp. X19	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiales genera incertae sedis;Thiomonas;unclassified Thiomonas;Thiomonas sp. X19	0	1	0	1	0	1
2675225	Novosphingobium sp. Gsoil 351	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium;unclassified Novosphingobium;Novosphingobium sp. Gsoil 351	0	1	0	0	0	0
101571	Burkholderia ubonensis	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;Burkholderia cepacia complex;Burkholderia ubonensis	0	1	0	0	0	0
5506	Fusarium	genus	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Hypocreomycetidae;Hypocreales;Nectriaceae;Fusarium	0	4	150	59	1	0
3415671	Aquihabitans sp. McL0605	species	cellular organisms;Bacteria;Bacillati;Actinomycetota;Acidimicrobiia;Acidimicrobiales;Iamiaceae;Aquihabitans;unclassified Aquihabitans;Aquihabitans sp. McL0605	0	1	0	11	0	0
44249	Paenibacillus	genus	cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus	0	1	0	2	5	0
227290	Rhizobium/Agrobacterium group	no rank	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Rhizobium/Agrobacterium group	0	2	1	1	1	0
32033	Lysobacteraceae	family	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae	0	2	0	0	0	7
2235	Halobacteriales	order	cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Halobacteria;Halobacteriales	0	2	0	0	0	0
381751	Thermocrinis minervae	species	cellular organisms;Bacteria;Pseudomonadati;Aquificota;Aquificia;Aquificales;Aquificaceae;Thermocrinis;Thermocrinis minervae	0	1	0	0	0	0
2705399	Hypericibacter	genus	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Dongiaceae;Hypericibacter	0	1	0	3	0	0
1554501	Teviot virus	no rank	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Paramyxoviridae;Rubulavirinae;Pararubulavirus;Pararubulavirus teviotense;Teviot virus	0	1	0	0	0	0
305	Ralstonia solanacearum	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia;Ralstonia solanacearum species complex;Ralstonia solanacearum	0	3	1	4	0	0
354276	Enterobacter cloacae complex	species group	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter cloacae complex	0	1	0	1	1	1
1501	Clostridium pasteurianum	species	cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium pasteurianum	0	1	0	1	0	0
1933910	Bartonella sp. A1379B	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Bartonellaceae;Bartonella;unclassified Bartonella;Bartonella sp. A1379B	0	1	0	0	0	0
208962	Escherichia albertii	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia albertii	0	3	10	2	25	1
1069201	Aspergillus luchuensis	species	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;Eurotiomycetes;Eurotiomycetidae;Eurotiales;Aspergillaceae;Aspergillus;Aspergillus subgen. Circumdati;Aspergillus luchuensis	0	4	3	5	0	0
5125	Hypocreales	order	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Hypocreomycetidae;Hypocreales	0	8	2	15	0	296
2810562	Desulfoluna limicola	species	cellular organisms;Bacteria;Pseudomonadati;Thermodesulfobacteriota;Desulfobacteria;Desulfobacterales;Desulfolunaceae;Desulfoluna;Desulfoluna limicola	0	1	0	0	0	1
3052559	Orthorubulavirus mapueraense	species	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Paramyxoviridae;Rubulavirinae;Orthorubulavirus;Orthorubulavirus mapueraense	0	2	0	0	0	0
6039	Vairimorpha necatrix	species	cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Microsporidia;Apansporoblastina;Nosematidae;Vairimorpha;Vairimorpha necatrix	0	2	0	1	0	0
2937801	Conexibacter sp. DBS9H8	species	cellular organisms;Bacteria;Bacillati;Actinomycetota;Thermoleophilia;Solirubrobacterales;Conexibacteraceae;Conexibacter;unclassified Conexibacter;Conexibacter sp. DBS9H8	0	4	2	0	0	0
134537	Paraburkholderia fungorum	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Paraburkholderia;Paraburkholderia fungorum	0	13	3	72	127	1
644223	Komagataella phaffii GS115	strain	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Saccharomycotina;Pichiomycetes;Pichiales;Pichiaceae;Komagataella;Komagataella phaffii;Komagataella phaffii GS115	0	2	0	3	0	0
3120395	Acetobacterales	order	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Acetobacterales	0	1	0	0	0	0
641148	Neisseria sp. oral taxon 014	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;unclassified Neisseria;Neisseria sp. oral taxon 014	0	1	0	0	0	0
31993	Methylocystaceae	family	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylocystaceae	0	1	0	0	0	0
60548	Paraburkholderia graminis	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Paraburkholderia;Paraburkholderia graminis	0	1	0	0	0	0
1914233	Gemmataceae	family	cellular organisms;Bacteria;Pseudomonadati;PVC group;Planctomycetota;Planctomycetia;Gemmatales;Gemmataceae	0	1	0	0	609	0
508771	Toxoplasma gondii ME49	strain	cellular organisms;Eukaryota;Sar;Alveolata;Apicomplexa;Conoidasida;Coccidia;Eucoccidiorida;Eimeriorina;Sarcocystidae;Toxoplasma;Toxoplasma gondii;Toxoplasma gondii ME49	0	1	5	0	0	0
5874	Theileria annulata	species	cellular organisms;Eukaryota;Sar;Alveolata;Apicomplexa;Aconoidasida;Piroplasmida;Theileriidae;Theileria;Theileria annulata	0	1	0	1	0	0
1288636	Ornithinimicrobium flavum	species	cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Micrococcales;Ornithinimicrobiaceae;Ornithinimicrobium;Ornithinimicrobium flavum	0	1	0	0	0	0
2927979	Mesoterricola silvestris	species	cellular organisms;Bacteria;Pseudomonadati;Acidobacteriota;Holophagae;Holophagales;Holophagaceae;Mesoterricola;Mesoterricola silvestris	0	3	2	4	0	0
395331	Methanoregula	genus	cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Methanomicrobia;Methanomicrobiales;Methanoregulaceae;Methanoregula	0	1	0	0	0	0
1279	Staphylococcus	genus	cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus	0	6	49	31	6760393	4
1082851	Comamonas serinivorans	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas;Comamonas serinivorans	0	1	0	0	0	0
45056	Legionella adelaidensis	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella;Legionella adelaidensis	0	1	0	0	0	0
1463165	Klebsiella quasipneumoniae	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella pneumoniae complex;Klebsiella quasipneumoniae	0	21	0	6	398	1040
1155739	Moorena producens	species	cellular organisms;Bacteria;Bacillati;Cyanobacteriota/Melainabacteria group;Cyanobacteriota;Cyanophyceae;Coleofasciculales;Coleofasciculaceae;Moorena;Moorena producens	0	1	1	24	0	0
2768948	Capilliphycus salinus	species	cellular organisms;Bacteria;Bacillati;Cyanobacteriota/Melainabacteria group;Cyanobacteriota;Cyanophyceae;Oscillatoriophycideae;Oscillatoriales;Sirenicapillariaceae;Capilliphycus;Capilliphycus salinus	0	1	0	0	0	0
2883126	Microvirga roseola	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Microvirga;Microvirga roseola	0	1	0	0	0	0
2051906	Exiguobacterium sp. N4-1P	species	cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Bacillales incertae sedis;Bacillales Family XII. Incertae Sedis;Exiguobacterium;unclassified Exiguobacterium;Exiguobacterium sp. N4-1P	0	2	0	142	1	28
155616	Tremellomycetes	class	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Tremellomycetes	0	2	3	8	0	0
403	Methylococcaceae	family	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Methylococcales;Methylococcaceae	0	3	0	1	0	2
164546	Cupriavidus taiwanensis	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Cupriavidus;Cupriavidus taiwanensis	0	1	0	0	0	0
3066262	Candidatus Tisiphia endosymbiont of Beris chalybata	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rickettsiales;Rickettsiaceae;Rickettsieae;Candidatus Tisiphia;unclassified Candidatus Tisiphia;Candidatus Tisiphia endosymbiont of Beris chalybata	0	2	0	1	0	0
5794	Apicomplexa	phylum	cellular organisms;Eukaryota;Sar;Alveolata;Apicomplexa	0	1	1	1	0	0
31957	Propionibacteriaceae	family	cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae	0	1	2	0	2330	0
100716	Chloroherpeton thalassium	species	cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Chlorobiota;Chlorobiia;Chlorobiales;Chloroherpetonaceae;Chloroherpeton;Chloroherpeton thalassium	0	2	2	11	0	0
286	Pseudomonas	genus	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas	0	2	0	8	0	6
976	Bacteroidota	phylum	cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota	0	1	5	1	108	31
547	Enterobacter	genus	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter	0	1	2	0	0	0
346	Xanthomonas citri	species	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Xanthomonas;Xanthomonas citri group;Xanthomonas citri	0	1	0	33	11	2
196159	unclassified Sphingomonas	no rank	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;unclassified Sphingomonas	0	1	0	1	0	0
2495433	Alston virus	no rank	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Paramyxoviridae;Rubulavirinae;Orthorubulavirus;unclassified Orthorubulavirus;Orthorubulavirus sp. 'alstonvillense';Alston virus	0	3	0	0	0	0
