#assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	asm_submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	asm_not_live_date	assembly_type	group	genome_size	genome_size_ungapped	gc_percent	replicon_count	scaffold_count	contig_count	annotation_provider	annotation_name	annotation_date	total_gene_count	protein_coding_gene_count	non_coding_gene_count	pubmed_id
GCF_030122845.1	PRJNA224116	SAMN34374853	na	reference genome	307580	307580	Paenibacillus woosongensis	strain=B2_4	na	latest	Complete Genome	Major	Full	2023-05-27	ASM3012284v1	Technical University of Denmark	GCA_030122845.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/122/845/GCF_030122845.1_ASM3012284v1	na	na	na	haploid	bacteria	5289572	5289572	50	1	1	1	NCBI RefSeq	GCF_030122845.1-RS_2024_05_26	2024-05-26	4896	4709	103	na
GCF_053763475.1	PRJNA224116	SAMN50465561	JBSNBZ000000000.1	na	307643	307643	Exiguobacterium profundum	strain=SW22	na	latest	Complete Genome	Major	Full	2025-11-30	ASM5376347v1	Pondicherry University	GCA_053763475.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/053/763/475/GCF_053763475.1_ASM5376347v1	na	na	na	haploid	bacteria	3000275	3000275	48	1	1	1	NCBI RefSeq	GCF_053763475.1-RS_2025_11_30	2025-11-30	3130	3015	99	na
GCF_049949195.1	PRJNA224116	SAMN46861224	na	na	308053	308053	Flavobacterium sp. 2	strain=2	na	latest	Complete Genome	Major	Full	2025-05-13	ASM4994919v1	Institute of Environmental Microbiology	GCA_049949195.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/049/949/195/GCF_049949195.1_ASM4994919v1	na	na	na	haploid	bacteria	5298928	5298928	33.5	1	1	1	NCBI RefSeq	GCF_049949195.1-RS_2025_04_29	2025-04-29	4542	4452	77	na
GCF_900187055.1	PRJNA224116	SAMEA4384339	na	reference genome	308354	308354	Staphylococcus simiae	strain=NCTC13838	na	latest	Complete Genome	Major	Full	2017-08-15	50377_D01	SC	GCA_900187055.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/187/055/GCF_900187055.1_50377_D01	na	assembly from type material	na	haploid	bacteria	2643976	2643976	32	1	1	1	NCBI RefSeq	GCF_900187055.1-RS_2025_12_13	2025-12-13	2478	2338	85	na
GCF_002073975.1	PRJNA224116	SAMN06610252	na	na	308754	308754	Rhodovulum sp. MB263	strain=MB263	na	latest	Complete Genome	Major	Full	2017-03-29	ASM207397v1	Toyohashi University of Technology	GCA_002073975.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/073/975/GCF_002073975.1_ASM207397v1	na	na	na	haploid	bacteria	4162560	4162560	67	3	3	3	NCBI RefSeq	GCF_002073975.1-RS_2024_08_14	2024-08-14	3969	3796	62	na
GCF_000020945.1	PRJNA224116	SAMN02603927	na	reference genome	309798	35786	Coprothermobacter proteolyticus DSM 5265	strain=DSM 5265	na	latest	Complete Genome	Major	Full	2008-09-26	ASM2094v1	The J. Craig Venter Institute	GCA_000020945.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/020/945/GCF_000020945.1_ASM2094v1	na	assembly from type material	na	haploid	bacteria	1424912	1424912	45	1	1	1	NCBI RefSeq	GCF_000020945.1-RS_2025_12_09	2025-12-09	1477	1412	57	24831154
GCF_000020965.1	PRJNA224116	SAMN02603928	na	reference genome	309799	14	Dictyoglomus thermophilum H-6-12	strain=H-6-12; ATCC 35947	na	latest	Complete Genome	Major	Full	2008-09-26	ASM2096v1	The J. Craig Venter Institute	GCA_000020965.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/020/965/GCF_000020965.1_ASM2096v1	na	assembly from type material	na	haploid	bacteria	1959987	1959987	33.5	1	1	1	NCBI RefSeq	GCF_000020965.1-RS_2025_12_11	2025-12-11	1950	1881	55	24558247
GCF_000021685.1	PRJNA224116	SAMN02603430	na	reference genome	309801	500	Thermomicrobium roseum DSM 5159	strain=DSM 5159	na	latest	Complete Genome	Major	Full	2009-01-22	ASM2168v1	J Craig Venter Institute	GCA_000021685.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/685/GCF_000021685.1_ASM2168v1	na	assembly from type material	na	haploid	bacteria	2920744	2920744	64.5	2	2	2	NCBI RefSeq	GCF_000021685.1-RS_2025_03_28	2025-03-28	2640	2556	57	19148287
GCF_049244645.1	PRJNA224116	SAMN30712144	na	na	309803	2337	Thermotoga neapolitana DSM 4359	strain=DSM 4359	na	latest	Complete Genome	Major	Full	2025-04-04	ASM4924464v1	TIGR	GCA_049244645.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/049/244/645/GCF_049244645.1_ASM4924464v1	na	assembly from type material	na	haploid	bacteria	1884540	1884540	47	1	1	1	NCBI RefSeq	GCF_049244645.1-RS_2025_04_03	2025-04-03	1946	1877	54	na
GCF_052161895.1	PRJNA224116	SAMN50560519	na	na	310300	310300	Bacteroides pyogenes	strain=SJ36	na	latest	Complete Genome	Major	Full	2025-08-22	ASM5216189v1	Long Island University	GCA_052161895.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/052/161/895/GCF_052161895.1_ASM5216189v1	na	na	na	haploid	bacteria	3794299	3794299	45.5	1	1	1	NCBI RefSeq	GCF_052161895.1-RS_2025_08_21	2025-08-21	3183	3011	87	na
GCF_900078365.1	PRJNA224116	SAMEA3906800	na	na	310581	310581	uncultured Sphingopyxis sp.	na	UC10	latest	Complete Genome	Major	Full	2017-05-15	SPPYR_PRJEB13037v1	Genoscope CEA	GCA_900078365.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/078/365/GCF_900078365.1_SPPYR_PRJEB13037v1	derived from metagenome	na	na	haploid	bacteria	4139859	4139859	66	1	1	1	NCBI RefSeq	GCF_900078365.1-RS_2024_07_13	2024-07-13	3851	3753	51	na
GCF_004117075.1	PRJNA224116	SAMN08398973	na	reference genome	310769	310769	Fervidobacterium changbaicum	strain=CBS-1	na	latest	Chromosome	Major	Full	2019-01-29	ASM411707v1	Kyungpook National University	GCA_004117075.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/117/075/GCF_004117075.1_ASM411707v1	na	assembly from type material	na	haploid	bacteria	2266449	2266349	40.5	1	1	1	NCBI RefSeq	GCF_004117075.1-RS_2025_04_03	2025-04-03	2116	2034	57	na
GCF_039565045.1	PRJNA224116	SAMN41129001	na	na	311180	311180	Alloyangia pacifica	strain=T6124	na	latest	Complete Genome	Major	Full	2024-05-10	ASM3956504v1	Ocean University of China	GCA_039565045.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/039/565/045/GCF_039565045.1_ASM3956504v1	na	na	na	haploid	bacteria	5297488	5297488	66.5	6	6	6	NCBI RefSeq	GCF_039565045.1-RS_2025_05_23	2025-05-23	5064	4913	73	na
GCF_902813185.1	PRJNA224116	SAMEA6601835	na	reference genome	311182	311182	Denitratisoma oestradiolicum	strain=DSM 16959	na	latest	Complete Genome	Major	Full	2020-08-06	Denitratisoma_oestradiolicum_DSM16959	Genoscope CEA	GCA_902813185.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/813/185/GCF_902813185.1_Denitratisoma_oestradiolicum_DSM16959	na	assembly from type material	na	haploid	bacteria	4293412	4293412	62	2	2	2	NCBI RefSeq	GCF_902813185.1-RS_2025_12_16	2025-12-16	4006	3885	61	na
GCF_002902925.1	PRJNA224116	SAMN07573572	na	reference genome	311230	311230	Paraburkholderia terrae	strain=DSM 17804	na	latest	Complete Genome	Major	Full	2018-01-29	ASM290292v1	University of Groningen	GCA_002902925.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/902/925/GCF_002902925.1_ASM290292v1	na	assembly from type material	na	haploid	bacteria	10062489	10062489	62	4	4	4	NCBI RefSeq	GCF_002902925.1-RS_2025_05_13	2025-05-13	9039	8815	84	na
GCF_016128195.1	PRJNA224116	SAMN16357218	na	reference genome	311231	311231	Paraburkholderia ginsengisoli	strain=FDAARGOS_1049	na	latest	Complete Genome	Major	Full	2020-12-20	ASM1612819v1	US Food and Drug Administration	GCA_016128195.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/128/195/GCF_016128195.1_ASM1612819v1	na	na	na	haploid	bacteria	6597255	6597255	63.5	3	3	3	NCBI RefSeq	GCF_016128195.1-RS_2025_12_13	2025-12-13	5908	5711	91	na
GCF_000016285.1	PRJNA224116	SAMN02602976	na	reference genome	311402	3025782	Allorhizobium ampelinum S4	strain=S4	Kecskemet-Hungary; ATCC BAA-846	latest	Complete Genome	Major	Full	2009-01-27	ASM1628v1	Agrobacterium consortium	GCA_000016285.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/285/GCF_000016285.1_ASM1628v1	na	assembly from type material	na	haploid	bacteria	6320946	6320946	57.5	7	7	7	NCBI RefSeq	GCF_000016285.1-RS_2025_03_03	2025-03-03	5814	5590	71	19251847
GCF_965233825.1	PRJNA224116	SAMEA117829795	na	reference genome	311410	311410	Roseibium album	na	cdcd553e-79af-45eb-b0e9-8898e1ea64b7	latest	Complete Genome	Major	Full	2025-04-05	pyBrePsyg7.Roseibium_album_1.1	WELLCOME SANGER INSTITUTE	GCA_965233825.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/965/233/825/GCF_965233825.1_pyBrePsyg7.Roseibium_album_1.1	derived from metagenome	na	na	haploid	bacteria	6975131	6975131	56.5	1	1	1	NCBI RefSeq	GCF_965233825.1-RS_2025_04_05	2025-04-05	6399	6299	69	na
GCF_900637955.1	PRJNA224116	SAMEA103924393	na	reference genome	312285	312285	Trueperella bialowiezensis	strain=NCTC13354	na	latest	Complete Genome	Major	Full	2018-12-20	54424_G02	SC	GCA_900637955.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/637/955/GCF_900637955.1_54424_G02	na	assembly from type material	na	haploid	bacteria	2043249	2043249	59.5	1	1	1	NCBI RefSeq	GCF_900637955.1-RS_2025_12_09	2025-12-09	1864	1804	55	na
GCF_023277925.1	PRJNA224116	SAMN16451110	na	na	312306	312306	Pseudomonas entomophila	strain=23S	na	latest	Complete Genome	Major	Full	2022-05-09	ASM2327792v1	McGill University	GCA_023277925.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/277/925/GCF_023277925.1_ASM2327792v1	na	na	na	haploid	bacteria	5755740	5755740	64	1	1	1	NCBI RefSeq	GCF_023277925.1-RS_2025_06_15	2025-06-15	5140	4949	105	na
GCF_000152925.2	PRJNA224116	SAMN02436136	na	na	313590	313590	Dokdonia sp. MED134	strain=MED134	na	latest	Complete Genome	Major	Full	2014-09-12	ASM15292v3	The Gordon and Betty Moore Foundation Marine Microbiology Initiative	GCA_000152925.3	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/152/925/GCF_000152925.2_ASM15292v3	na	na	na	haploid	bacteria	3302548	3302548	38	1	1	1	NCBI RefSeq	GCF_000152925.2-RS_2025_01_07	2025-01-07	2950	2893	55	17215843;22003006;25136122
GCF_000153485.2	PRJNA224116	SAMN02603919	na	reference genome	313595	57029	Psychroflexus torquis ATCC 700755	strain=ATCC 700755	na	latest	Complete Genome	Major	Full	2012-10-09	ASM15348v2	The Gordon and Betty Moore Foundation Marine Microbiology Initiative	GCA_000153485.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/153/485/GCF_000153485.2_ASM15348v2	na	assembly from type material	na	haploid	bacteria	4321832	4321832	34.5	1	1	1	NCBI RefSeq	GCF_000153485.2-RS_2025_05_01	2025-05-01	3819	3624	50	na
GCF_000152945.2	PRJNA224116	SAMN02603920	na	na	313598	313598	Polaribacter sp. MED152	strain=MED152	na	latest	Complete Genome	Major	Full	2013-03-29	ASM15294v2	The Gordon and Betty Moore Foundation Marine Microbiology Initiative	GCA_000152945.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/152/945/GCF_000152945.2_ASM15294v2	na	na	na	haploid	bacteria	2961474	2961474	30.5	1	1	1	NCBI RefSeq	GCF_000152945.2-RS_2024_07_29	2024-07-29	2673	2623	45	17215843;18552178
GCF_000153165.2	PRJNA224116	SAMN02603923	na	na	313603	313603	Maribacter sp. HTCC2170	strain=HTCC2170	na	latest	Complete Genome	Major	Full	2010-08-24	ASM15316v2	The Gordon and Betty Moore Foundation Marine Microbiology Initiative	GCA_000153165.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/153/165/GCF_000153165.2_ASM15316v2	na	na	na	haploid	bacteria	3868304	3868304	37	1	1	1	NCBI RefSeq	GCF_000153165.2-RS_2025_01_08	2025-01-08	3408	3355	49	21037013
GCF_000340565.2	PRJNA224116	SAMN01915661	na	na	313624	70799	Nodularia spumigena CCY9414	strain=CCY9414	na	latest	Chromosome	Major	Full	2014-04-03	ASM34056v3	University of Freiburg	GCA_000340565.3	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/340/565/GCF_000340565.2_ASM34056v3	na	na	na	haploid	bacteria	5462271	5457771	41	1	1	76	NCBI RefSeq	GCF_000340565.2-RS_2025_03_31	2025-03-31	4842	4586	64	23555932
GCF_015239775.1	PRJNA224116	SAMN12634276	na	na	313985	313985	Trichlorobacter lovleyi	strain=IAE	na	latest	Complete Genome	Major	Full	2020-11-05	ASM1523977v1	Institute of Applied Ecology (CAS)	GCA_015239775.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/239/775/GCF_015239775.1_ASM1523977v1	na	na	na	haploid	bacteria	4003214	4003214	55.5	2	2	2	NCBI RefSeq	GCF_015239775.1-RS_2025_02_19	2025-02-19	3802	3686	80	na
GCF_000013005.1	PRJNA224116	SAMN00622970	na	na	314225	39960	Erythrobacter litoralis HTCC2594	strain=HTCC2594	na	latest	Complete Genome	Major	Full	2006-01-19	ASM1300v1	The Gordon and Betty Moore Foundation Marine Microbiology Initiative	GCA_000013005.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/005/GCF_000013005.1_ASM1300v1	na	na	na	haploid	bacteria	3052398	3052398	63	1	1	1	NCBI RefSeq	GCF_000013005.1-RS_2025_03_09	2025-03-09	3011	2950	50	na
GCF_000152825.2	PRJNA224116	SAMN02603918	na	reference genome	314260	208216	Parvularcula bermudensis HTCC2503	strain=HTCC2503	na	latest	Complete Genome	Major	Full	2010-08-16	ASM15282v2	The Gordon and Betty Moore Foundation Marine Microbiology Initiative	GCA_000152825.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/152/825/GCF_000152825.2_ASM15282v2	na	assembly from type material	na	haploid	bacteria	2902643	2902643	60.5	1	1	1	NCBI RefSeq	GCF_000152825.2-RS_2025_03_27	2025-03-27	2711	2638	50	21037002
GCF_006517115.1	PRJNA224116	SAMN12078926	na	na	314275	314275	Alteromonas mediterranea	strain=PT15	na	latest	Complete Genome	Major	Full	2019-06-30	ASM651711v1	Evolutionary Genomics Group	GCA_006517115.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/517/115/GCF_006517115.1_ASM651711v1	na	na	na	haploid	bacteria	4294985	4294985	45	1	1	1	NCBI RefSeq	GCF_006517115.1-RS_2026_02_15	2026-02-15	3660	3567	76	na
GCF_003568825.1	PRJNA224116	SAMN09780820	na	reference genome	314281	314281	Pseudoalteromonas tunicata	strain=D2	na	latest	Complete Genome	Major	Full	2018-09-04	ASM356882v1	University of New South Wales	GCA_003568825.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/568/825/GCF_003568825.1_ASM356882v1	na	assembly from type material	na	haploid	bacteria	4967522	4967522	40	2	2	2	NCBI RefSeq	GCF_003568825.1-RS_2025_03_28	2025-03-28	4359	4158	147	na
GCF_000153405.2	PRJNA224116	SAMN00622974	na	na	314282	314282	Psychromonas sp. CNPT3	strain=CNPT3	na	latest	Complete Genome	Major	Full	2013-03-22	ASM15340v2	The Gordon and Betty Moore Foundation Marine Microbiology Initiative	GCA_000153405.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/153/405/GCF_000153405.2_ASM15340v2	na	na	na	haploid	bacteria	3052410	3052410	38.5	1	1	1	NCBI RefSeq	GCF_000153405.2-RS_2025_08_25	2025-08-25	2701	2561	124	na
GCF_000153125.2	PRJNA224116	SAMN02436113	AAOA00000000.2	reference genome	314285	393662	Congregibacter litoralis KT71	strain=KT71	na	latest	Chromosome	Major	Full	2013-12-09	ASM15312v2	The Gordon and Betty Moore Foundation Marine Microbiology Initiative	GCA_000153125.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/153/125/GCF_000153125.2_ASM15312v2	na	assembly from type material	na	haploid	bacteria	4351117	4350617	57.5	1	1	6	NCBI RefSeq	GCF_000153125.2-RS_2025_06_30	2025-06-30	3919	3812	53	17299055;19287491
GCF_000012085.2	PRJNA224116	SAMN02603508	na	reference genome	314724	142	Borrelia turicatae 91E135	strain=91E135	Oz1	latest	Complete Genome	Major	Full	2006-12-27	ASM1208v2	Laboratory of Human Bacterial Pathenogenesis, Rocky Mountain Laboratories, NIAID	GCA_000012085.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/085/GCF_000012085.2_ASM1208v2	na	assembly designated as reftype	na	haploid	bacteria	1165365	1165365	29.5	9	9	9	NCBI RefSeq	GCF_000012085.2-RS_2025_03_05	2025-03-05	1142	1058	38	8294872;9234797;10594835;16081922
GCF_012516395.1	PRJNA224116	SAMN14567401	na	reference genome	315271	1166	Dolichospermum flos-aquae CCAP 1403/13F	strain=CCAP 1403/13f	na	latest	Complete Genome	Major	Full	2020-04-19	ASM1251639v1	NEB	GCA_012516395.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/516/395/GCF_012516395.1_ASM1251639v1	na	na	na	haploid	bacteria	5220684	5220684	38	2	2	2	NCBI RefSeq	GCF_012516395.1-RS_2025_08_25	2025-08-25	4983	4711	66	na
GCF_001029265.1	PRJNA224116	SAMN03488050	na	reference genome	315358	315358	Spiroplasma eriocheiris	strain=DSM 21848	na	latest	Complete Genome	Major	Full	2015-06-17	ASM102926v1	Academia Sinica	GCA_001029265.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/029/265/GCF_001029265.1_ASM102926v1	na	assembly from type material	na	haploid	bacteria	1365714	1365714	30	1	1	1	NCBI RefSeq	GCF_001029265.1-RS_2025_08_25	2025-08-25	1274	1229	38	26254485
GCF_000022265.1	PRJNA224116	SAMN00623045	na	reference genome	316067	1203471	Geotalea daltonii FRC-32	strain=FRC-32	na	latest	Complete Genome	Major	Full	2009-01-27	ASM2226v1	US DOE Joint Genome Institute	GCA_000022265.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/022/265/GCF_000022265.1_ASM2226v1	na	assembly from type material	na	haploid	bacteria	4304501	4304501	53.5	1	1	1	NCBI RefSeq	GCF_000022265.1-RS_2025_12_10	2025-12-10	3868	3787	60	na
GCF_009664085.1	PRJNA224116	SAMN11388997	na	reference genome	316276	1050	Thermochromatium tepidum ATCC 43061	strain=ATCC 43061	na	latest	Complete Genome	Major	Full	2019-11-15	ASM966408v1	Northern Illinois University	GCA_009664085.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/664/085/GCF_009664085.1_ASM966408v1	na	assembly from type material	na	haploid	bacteria	2958290	2958290	63.5	1	1	1	NCBI RefSeq	GCF_009664085.1-RS_2025_05_05	2025-05-05	2753	2639	62	na
GCF_000012505.1	PRJNA224116	SAMN02598312	na	na	316279	316279	Synechococcus sp. CC9902	strain=CC9902	na	latest	Complete Genome	Major	Full	2005-10-27	ASM1250v1	DOE Joint Genome Institute	GCA_000012505.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/505/GCF_000012505.1_ASM1250v1	na	na	na	haploid	bacteria	2234828	2234828	54	1	1	1	NCBI RefSeq	GCF_000012505.1-RS_2024_08_13	2024-08-13	2445	2383	53	na
GCF_055383785.1	PRJNA224116	SAMD00887283	na	reference genome	316996	316996	Sporomusa intestinalis	strain=JCM 13218	na	latest	Complete Genome	Major	Full	2026-02-25	ASM5538378v1	Contact:Shingo Kato RIKEN BioResource Research Center, Japan Collection of Microorganisms; 3-1-1 Koyadai, Tsukuba, Ibaraki 305-0074, Japan	GCA_055383785.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/055/383/785/GCF_055383785.1_ASM5538378v1	na	assembly from type material	na	haploid	bacteria	5535802	5535802	51	1	1	1	NCBI RefSeq	GCF_055383785.1-RS_2026_02_24	2026-02-24	5134	4969	146	na
GCF_002759115.2	PRJNA224116	SAMN06829155	na	na	317013	1985254	Xanthomonas phaseoli pv. phaseoli	strain=CFBP6164	na	latest	Complete Genome	Major	Full	2021-04-26	ASM275911v2	IRHS	GCA_002759115.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/759/115/GCF_002759115.2_ASM275911v2	na	na	na	haploid	bacteria	5341746	5341746	64.5	3	3	3	NCBI RefSeq	GCF_002759115.2-RS_2025_05_07	2025-05-07	4677	4329	88	28854875
GCF_003444775.1	PRJNA224116	SAMN06314862	na	reference genome	317577	317577	Deinococcus ficus	strain=CC-FR2-10	na	latest	Complete Genome	Major	Full	2017-07-27	ASM344477v1	National Health Research Institutes	GCA_003444775.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/444/775/GCF_003444775.1_ASM344477v1	na	assembly from type material	na	haploid	bacteria	4157290	4157290	70	5	5	5	NCBI RefSeq	GCF_003444775.1-RS_2025_03_28	2025-03-28	4055	3967	71	na
GCF_000013985.1	PRJNA224116	SAMN02598319	na	reference genome	317655	117207	Sphingopyxis alaskensis RB2256	strain=RB2256	na	latest	Complete Genome	Major	Full	2006-05-30	ASM1398v1	DOE Joint Genome Institute	GCA_000013985.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/985/GCF_000013985.1_ASM1398v1	na	assembly from type material	na	haploid	bacteria	3373713	3373713	65.5	2	2	2	NCBI RefSeq	GCF_000013985.1-RS_2024_12_09	2024-12-09	3320	3230	51	19805210
GCF_014905135.1	PRJNA224116	SAMN12229591	na	reference genome	317658	317658	Sulfurimonas paralvinellae	strain=GO25	na	latest	Complete Genome	Major	Full	2020-10-21	ASM1490513v1	Third institute of oceanography, State Oceanic Administration	GCA_014905135.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/905/135/GCF_014905135.1_ASM1490513v1	na	assembly from type material	na	haploid	bacteria	2078871	2078871	38.5	2	2	2	NCBI RefSeq	GCF_014905135.1-RS_2025_05_27	2025-05-27	2145	2079	58	na
GCF_000316625.1	PRJNA224116	SAMN02261332	na	na	317936	317936	Nostoc sp. PCC 7107	strain=PCC 7107	na	latest	Complete Genome	Major	Full	2012-12-04	ASM31662v1	JGI	GCA_000316625.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/316/625/GCF_000316625.1_ASM31662v1	na	na	na	haploid	bacteria	6329823	6329823	40.5	1	1	1	NCBI RefSeq	GCF_000316625.1-RS_2024_07_22	2024-07-22	5531	5326	95	na
GCF_000013765.1	PRJNA224116	SAMN02598300	na	reference genome	318161	192073	Shewanella denitrificans OS217	strain=OS217	na	latest	Complete Genome	Major	Full	2006-04-11	ASM1376v1	DOE Joint Genome Institute	GCA_000013765.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/765/GCF_000013765.1_ASM1376v1	na	assembly from type material	na	haploid	bacteria	4545906	4545906	45	1	1	1	NCBI RefSeq	GCF_000013765.1-RS_2024_12_13	2024-12-13	3969	3793	121	na
GCF_000014705.1	PRJNA224116	SAMN02598301	na	reference genome	318167	56812	Shewanella frigidimarina NCIMB 400	strain=NCIMB 400	na	latest	Complete Genome	Major	Full	2006-09-14	ASM1470v1	DOE Joint Genome Institute	GCA_000014705.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/705/GCF_000014705.1_ASM1470v1	na	na	na	haploid	bacteria	4845257	4845257	41.5	1	1	1	NCBI RefSeq	GCF_000014705.1-RS_2025_04_22	2025-04-22	4183	4015	129	na
GCF_022374875.2	PRJNA224116	SAMN20254267	na	reference genome	318424	318424	Mycolicibacterium rufum	strain=JCM 16372	na	latest	Complete Genome	Major	Full	2022-09-02	ASM2237487v3	Research Institute of Tuberculosis	GCA_022374875.3	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/374/875/GCF_022374875.2_ASM2237487v3	na	assembly from type material	na	haploid	bacteria	6107383	6107383	69.5	3	3	3	NCBI RefSeq	GCF_022374875.2-RS_2025_06_24	2025-06-24	5909	5765	56	36651784
GCF_002005485.1	PRJNA224116	SAMN04396919	na	reference genome	318683	318683	Gluconobacter albidus	strain=TMW2.1191	na	latest	Complete Genome	Major	Full	2017-02-22	ASM200548v1	Technische Universitaet Muenchen	GCA_002005485.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/005/485/GCF_002005485.1_ASM200548v1	na	na	na	haploid	bacteria	3369297	3369297	59.5	2	2	2	NCBI RefSeq	GCF_002005485.1-RS_2025_12_15	2025-12-15	3143	3023	76	na
GCF_021052245.1	PRJNA224116	SAMN23416907	na	na	319017	319017	Bradyrhizobium sp. WSM471	strain=WSM471	na	latest	Complete Genome	Major	Full	2021-12-06	ASM2105224v1	Murdoch University	GCA_021052245.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/052/245/GCF_021052245.1_ASM2105224v1	na	na	na	haploid	bacteria	7785529	7785529	63.5	1	1	1	NCBI RefSeq	GCF_021052245.1-RS_2025_09_22	2025-09-22	7337	7110	54	na
GCF_000012485.1	PRJNA224116	SAMN02598284	na	reference genome	319225	1100	Pelodictyon luteolum DSM 273	strain=DSM 273	na	latest	Complete Genome	Major	Full	2005-10-27	ASM1248v1	DOE Joint Genome Institute	GCA_000012485.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/485/GCF_000012485.1_ASM1248v1	na	assembly from type material	na	haploid	bacteria	2364842	2364842	57.5	1	1	1	NCBI RefSeq	GCF_000012485.1-RS_2025_03_28	2025-03-28	2231	2144	57	na
GCF_001673705.2	PRJNA224116	SAMN04904108	na	na	319501	319501	Brevibacillus sp. WF146	strain=WF146	na	latest	Complete Genome	Major	Full	2022-11-02	ASM167370v2	Wuhan University	GCA_001673705.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/673/705/GCF_001673705.2_ASM167370v2	na	na	na	haploid	bacteria	4467694	4467694	58	1	1	1	NCBI RefSeq	GCF_001673705.2-RS_2025_01_31	2025-01-31	4477	4268	137	na
GCF_964062635.1	PRJNA224116	SAMEA115434258	na	reference genome	319653	319653	Pediococcus ethanolidurans	na	Pediococcus ethanolidurans CIRM-BIA2669	latest	Complete Genome	Major	Full	2024-07-20	Pediococcus_ethanolidurans_CIRM-BIA2669	INRAE	GCA_964062635.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/062/635/GCF_964062635.1_Pediococcus_ethanolidurans_CIRM-BIA2669	na	na	na	haploid	bacteria	2228266	2228266	37.5	3	3	3	NCBI RefSeq	GCF_964062635.1-RS_2024_07_20	2024-07-20	2238	2076	78	na
